station,pinyin,telecode
东湾,dongwan,DRJ
大武口,dawukou,DFJ
低窝铺,diwopu,DWJ
大王滩,dawangtan,DZZ
大湾子,dawanzi,DFM
大兴沟,daxinggou,DXL
大兴,daxing,DXX
定西,dingxi,DSJ
甸心,dianxin,DXM
东乡,dongxiang,DXG
代县,daixian,DKV
定襄,dingxiang,DXV
东戌,dongxu,RXP
东辛庄,dongxinzhuang,DXD
德阳,deyang,DYW
丹阳,danyang,DYH
大雁,dayan,DYX
当阳,dangyang,DYN
丹阳北,danyangbei,EXH
大英东,dayingdong,IAW
东淤地,dongyudi,DBV
大营,daying,DYV
定远,dingyuan,EWH
岱岳,daiyue,RYV
大元,dayuan,DYZ
大营镇,dayingzhen,DJP
大营子,dayingzi,DZD
大战场,dazhanchang,DTJ
德州东,dezhoudong,DIP
低庄,dizhuang,DVQ
东镇,dongzhen,DNV
道州,daozhou,DFZ
东至,dongzhi,DCH
东庄,dongzhuang,DZV
兑镇,duizhen,DWV
豆庄,douzhuang,ROP
定州,dingzhou,DXP
大竹园,dazhuyuan,DZY
大杖子,dazhangzi,DAP
豆张庄,douzhangzhuang,RZP
峨边,ebian,EBW
二道沟门,erdaogoumen,RDP
二道湾,erdaowan,RDX
鄂尔多斯,eerduosi,EEC
二龙,erlong,RLD
二龙山屯,erlongshantun,ELA
峨眉,emei,EMW
二密河,ermihe,RML
二营,erying,RYJ
鄂州,ezhou,ECN
福安,fuan,FAS
丰城,fengcheng,FCG
丰城南,fengchengnan,FNG
肥东,feidong,FIH
发耳,faer,FEM
富海,fuhai,FHX
福海,fuhai,FHR
凤凰城,fenghuangcheng,FHT
汾河,fenhe,FEV
奉化,fenghua,FHH
富锦,fujin,FIB
范家屯,fanjiatun,FTT
福利区,fuliqu,FLJ
福利屯,fulitun,FTB
丰乐镇,fenglezhen,FZB
阜南,funan,FNH
阜宁,funing,AKH
抚宁,funing,FNP
福清,fuqing,FQS
福泉,fuquan,VMW
丰水村,fengshuicun,FSJ
丰顺,fengshun,FUQ
繁峙,fanshi,FSV
抚顺,fushun,FST
福山口,fushankou,FKP
扶绥,fusui,FSZ
冯屯,fengtun,FTX
浮图峪,futuyu,FYP
富县东,fuxiandong,FDY
凤县,fengxian,FXY
富县,fuxian,FEY
费县,feixian,FXK
凤阳,fengyang,FUH
汾阳,fenyang,FAV
扶余北,fuyubei,FBT
分宜,fenyi,FYG
富源,fuyuan,FYM
扶余,fuyu,FYT
富裕,fuyu,FYX
抚州北,fuzhoubei,FBG
凤州,fengzhou,FZY
丰镇,fengzhen,FZC
范镇,fanzhen,VZK
固安,guan,GFP
广安,guangan,VJW
高碑店,gaobeidian,GBP
沟帮子,goubangzi,GBD
甘草店,gancaodian,GDJ
谷城,gucheng,GCN
藁城,gaocheng,GEP
高村,gaocun,GCV
古城镇,guchengzhen,GZB
广德,guangde,GRH
贵定,guiding,GTW
贵定南,guidingnan,IDW
古东,gudong,GDV
贵港,guigang,GGZ
官高,guangao,GVP
葛根庙,gegenmiao,GGT
干沟,gangou,GGL
甘谷,gangu,GGJ
高各庄,gaogezhuang,GGP
甘河,ganhe,GAX
根河,genhe,GEX
郭家店,guojiadian,GDT
孤家子,gujiazi,GKT
古浪,gulang,GLJ
皋兰,gaolan,GEJ
高楼房,gaoloufang,GFM
归流河,guiliuhe,GHT
关林,guanlin,GLF
甘洛,ganluo,VOW
郭磊庄,guoleizhuang,GLP
高密,gaomi,GMK
公庙子,gongmiaozi,GMC
工农湖,gongnonghu,GRT
广宁寺南,guangningsinan,GNT
广南卫,guangnanwei,GNM
高平,gaoping,GPF
甘泉北,ganquanbei,GEY
共青城,gongqingcheng,GAG
甘旗卡,ganqika,GQD
甘泉,ganquan,GQY
高桥镇,gaoqiaozhen,GZD
灌水,guanshui,GST
赶水,ganshui,GSW
孤山口,gushankou,GSP
果松,guosong,GSL
